Note,Comment,Class
2.5,"Absolument mauvais. J'ai du mal a croire que tant de personnes trouvent des qualités à ce film.Je n'ai pas lu le livre mais j'ai eu l'impression de voir une adaptation bête et méchante sans aucunes émotions. Des scènes prévisibles, des deus ex machina a tout bout de champ, des faux raccords mais surtout un manque de souffle épique.Un film réalisé sans talent.",neg
2.5,"Le deuxième épisode d'Harry Potter accuse déjà le coup. Les défauts du premier sont toujours là et certains s'en trouvent même accentués ... quant aux qualités, elles disparaissent presque tous! L'oeuvre prend le chemin inverse de son prédécesseur: cette fois, le film commence plutôt bien mais au fur et à mesure, on décroche. On ne retrouve plus tellement le côté magique et enchanteur, l'effet de surprise est bel et bien dépassé. C'est surtout l'intrigue qui ne va pas! Elle est beaucoup moins intéressante, trop de facilités, l'ensemble est même mièvre et la fin est complètement ratée (le coup de l'oiseau qui crèvent les yeux du serpent, franchement...)! Beaucoup d'effets spéciaux sont toujours aussi laids. On ne pourra se réjouir que des quelques rares surprises (l'araignée) et de la musique de John Williams... [1/4]",neg
1.5,"Perdant les atouts du premier volet (une féérie moindre puisque l'étape de la découverte est passée, un Alan Rickman sous-exploité, des enjeux déjà exposés) cette suite revendique encore plus nettement son adresse à un public très juvénile avec un scénario cousu de fil blanc, des seconds rôles caricaturaux (quoi que Jason Isaacs soit excellemment glaçant), un humour lourdingue et des situations comme des réactions absurdes. Inintéressant!",neg
2.0,"Suite sortie à peine un an après l'opus original, Harry Potter Et La Chambre Des Secrets sent fortement le réchauffé. L'histoire nous fait suivre Harry et ses amis qui vont être confrontés à un terrible danger qui menace l'école. Malheureusement cette deuxième mouture n'est qu'une redite du premier, en atteste sa scène d'introduction qui laisse comme une impression de déjà-vu. Le scénario peine à décoller et s'étire sur près de deux heures quarante comportant énormément de longueurs et qui semblent interminables. Beaucoup de passages sont inutiles et ne font pas avancer l'intrigue. Une intrigue qui n'est qu'une série de péripéties qui n'apportent rien de consistant au récit. Les nouveautés sont peu nombreuses, tout comme les révélations qui n'ont en plus pas beaucoup d'importances. Si le premier film avait l'excuse de poser les bases et de proposer un univers qu'on découvrait, cette suite ne raconte rien et possède les mêmes défauts qui n'ont pas étés corrigés. Au casting on retrouve les mêmes visages, mais leurs rôles ne sont pas plus approfondis. Quelques nouveaux font leur apparition, comme Dobby qui ne sert pas à grand-chose, à contrario de Kenneth Branagh qui campe un professeur débarquant de nul part et qui se retrouve au cœur de l'histoire. Les antagonistes eux ne sont pas à la hauteur. Avec de tels personnages, difficile de procurer de l'émotion à travers leurs échanges, surtout quand les dialogues sont aussi insipides. Heureusement que la forme reste de bonne facture, entre la bonne réalisation de Chris Columbus, les effets-spéciaux convaincants et les décors qui créent un véritable univers. Dommage tout de même que ces derniers se répètent autant et que peu de nouveaux environnements soient explorés. La b.o. signée à nouveau John Williams reste fidèle à ses compositions et assure toujours sa tâche avec brio. Tout l'inverse de la fin sans surprise, qui s'étend beaucoup trop. Au final, Harry Potter Et La Chambre Des Secrets est une perte de temps, tant cette suite ne joue pas son rôle de faire évoluer son univers.",neg
2.5,Mais que c'est gnangnan. L'histoire est invraisemblable et le twist de fin complétement brouillon. Un film pour enfant et encore c'est plutôt dark et flippant pour les enfants...,neg
1.5,"Malgré un univers parfois intéressant, l'on caresse simplement la surface de ce qui aurait pu être une saga majeure, mais qui en devient finalement anecdotique.",neg
2.0,"Un univers intéressant avec une histoire intrigante, mais au final l'histoire reste très simple et le film ne décolle jamais.",neg
2.0,"Toujours le même problème horripilant : cela reste encore un film de gosse sans âme avec led mêmes grosses ficelles...Cependant, il faut reconnaître que le scénario s'est un peu enrichi, mais pas assez.La réalisation est toujours chaotique ce qui rend la film peu fluide et longuet",neg
2.5,L'histoire sur Tom Jedusor sauve un film qui galère à décoller. Le monde d'Harry Potter nous tend les bras et nous intrigues encore plus et nous donnes envie de connaître encore plus les mystères qui hantent les murs de Poudlard.,neg
2.0,un volet un peu navrant néanmoins j'avoue ne pas être un grand fan d'Harry Potter belles images de temps à autres et de l’action et de sensations transmises par les dialogues et les événements. Je le déconseille aux moins de 7 ans. 2/5,neg
2.5,"Si le premier volet de la saga Harry Potter nous avait agréablement surpris par la simplicité de sa mise en scène et de son histoire nous permettant de découvrir un univers féerique et des personnages assez attachants ; Il en est tout autrement  du second opus : on prend les mêmes et on recommence ? Bin on est pas si loin du concept en fait….mais le récit devient simplement une vague succession d’évènements assez indigestes qui ne font en rien avancer la grande histoire. L’introduction en est le parfait exemple : inutilement rallongée par des péripéties insignifiantes (oh mince : je tombe de la voiture !!), on aurait préféré largement que l’arrivé à Poudlard ne dure que 2 minutes et qu’on nous dévoile quelques semaines de cours avant de rentrer tout de suite dans le vif du sujet. C’en est presque ennuyeux à mourir….et au moment où on s’y attend le moins, l’ambiance du film va commencer peu à peu à s’assombrir : si l’intrigue principale nous présente le père Malefoy comme une énorme épine dans le pied, son charmant fiston Drago va confirmer définitivement son statut de némésis du protagoniste principal, mais aussi être le vaisseau d’un nouveau thème émergent, celui de la discrimination et l’intolérance (racisme ?). Il faudra en effet le voir cracher son veninspoiler:sur les Moldus et en particulier sur la pauvre petite Hermione(de plus, son look de petit blond aux yeux bleus correspond parfaitement à ce que l’on pouvait retrouver au sein des jeunesses aryennes !!). Rajoutons à cela un effort évident de vouloir faire de ce second volet un véritable « film de monstres » (spoiler:les araignées géantes, l’imposant basilic) au sein de son récit déjà pas très gai (nous allons découvrir pas mal de choses sur l’école et aussi la classe Serpentard) et on se rend vite compte à quel point la noirceur a envahi le joli et gentillet petit monde des sorciers !!  (il faut bien avouer qu’à côté de tout ça, la longue et chiante scène où Harry découvre pour la première foisspoiler:Le Terrier, la maison des Weasley, est presque « paradisiaque » !) On sent bien que cette fois-ci, on a délibérément choisi de se focaliser sur un mystère précis, quitte à laisser l’univers dans lequel on se trouve en pâtir et à ne proposer aucune évolution des personnages ! Mince, vous êtes sûr qu’il s’agit bien ici du même Chris Columbus qui a réalisé le premier film de la saga ? C’est pas un mec qui l’a remplacé vite fait lorsqu’il est tombé malade ? C’est dingue comment les deux métrages sont diamétralement opposé autant dans leur fond que dans leur forme : c’en est presque schizophrénique comme situation !! Quelle chose cloche avec la réal c’est indéniable, tout en étant décevant. Côté effets spéciaux, là aussi le sentiment est partagé : il y a du positif (spoiler:les araignées sont assez terrifiantes, la séquence du quidditch est bien mieux réalisée que lors du précédent volet, la jolie scène de flashback où Harry est dans un décor au teint sépia alors que lui est en couleurs) et du négatif (spoiler:la très moche mandragore, le basilic qui n’est qu’un serpent géant et en plus mal animé, l’elfe Dobby au design tout simplement ignoble !) Heureusement, en ce qui concerne la BO du film, encore un travail irréprochable de John Williams dont le score est toujours aussi bon et colle bien aux situations. Au niveau du casting, les trois acteurs principaux ont mûri et se sont nettement améliorés dans leur jeu ; quand aux adultes, ils sont toujours aussi bons, surtout Alan Rickman qui incarne une nouvelle fois un excellent Rogue. Petite mention au nouveau venu Kenneth Branagh qui nous propose avec son flegme et son humour british un pédant, prétentieux, vaniteux et incompétent Gilderoy Lockhart : rafraîchissant et désopilant ! Bref, il y a un fort sentiment double d’inexpliqué et d’inachevé concernant ce ""Harry Potter et la Chambre des Secrets"" : si on est au départ content de retrouver nos héros et leur univers, notre joie vacille au fur et à mesure du métrage, nous abandonnant à une intrigue simple mais qui semble si futile qu’on aurait presque souhaité 20-30 minutes de plus pour avoir un peu plus à se mettre sous la dent. Je ne sais pas si c’est pareil dans les bouquins ou si c’est simplement Columbus qui s’est fourvoyé. En tout cas, il émane de ce second volet un certain manque d'âme…et le pire dans tout ça, c’est que je ne retiendrait qu’une chose du métrage : le personnage le plus exaspérant de la saga en la personne de Dobby (mon dieu : il pleurniche constamment et qu’est-ce qu’il est relou lorsqu’il s’auto-punit !!) En espérant que le futur troisième épisode soit plus de l’acabit du premier que de celui-ci.",neg
2.0,"Un épisode moins féérique que le premier, cela manque de spontanéité et on reste déçu, cra on connait déjà les personnages et on aimerait que l'histoire avance.",neg
2.0,"Alors que plusieurs élèves sont victimes d'attaques étranges dans les couloirs de son école, Harry Potter doit mener l'enquête. Ce second volet tente de s'orienter vers une ambiance plus sombre et moins familiale, mais n'y parvient pas réellement, Chris Columbus ayant sans doute du mal à délaisser son genre de prédilection. Les passages plus noirs se rapprochent davantage du grand spectacle inoffensif que de l'horreur, et les personnages très lisses peinent à donner de la profondeur au récit (entre autres, les fourberies des Malfoy sont visibles à trois kilomètres). Toutefois, les acteurs ont grandi et sont plus convaincants que dans le premier film, et l'on note quelques arrivées sympathiques (Kenneth Branagh qui ne se prend pas au sérieux en jouant une caricature). Quant au scénario, il enchaîne les rebondissements et n'ennuie pas, mais ses éléments sont souvent artificiels, et parfois incohérents.",neg
2.5,"Ce deuxième volet des aventures d'Harry Potter au cinéma ressemble au premier long métrage et souffre des mêmes qualités et défauts. L'intrigue suit assez  fidèlement celle du roman mais n'en restitue pas toute la magie et la passion. Pour apprécier le film, il vaut mieux ne pas avoir lu préalablement le livre sous peine d'être fortement déçu. Rien à redire sur l'univers visuel et sonore mais la linéarité du scénario et le peu de vie des acteurs rendent le film plutôt plat. Moyen.",neg
2.5,Mieux que le 1. Après ça reste un peu bébête même si le temps passe agréablement devant ce sorcier millionnaire... Les décors et les effets sont jolies par contre les acteurs (et surtout Harry Potter lui-même) jouent comme des pieds...,neg
2.5,"Ce deuxième épisode est beaucoup moins intéressant que le premier film. L'histoire est assez barbante, ce qui rend ce deuxième volet long, trop long. Je serais curieux de savoir quel est le rôle de cet épisode dans le reste de la saga, car moi je dois l'avouer j'ai eu beaucoup de difficulté à rester concentré sur le film. La venue aussi de l'elfe Dobby est assez décevante et manque cruellement d'originalité, j'ai eu l'impression de voir un cousin de Gollum du Seigneur des Anneaux. Non, dans son ensemble cette chambre des secrets n'en recelait pas assez pour m’intéresser! Next.",neg
2.0,"Second volet des Harry Potter et cela descend fortement en qualité. Même s'il est de 2002, c'est très mauvais (surtout la première partie du film) au niveau des effets spéciaux. C'est quoi ce passage de la voiture qui vole : techniquement cela n'est pas à faire dans les années 2000. Cela ajouté aux incrustations de personnage, de créatures mal faîtes. De plus, il a été dit aux comédiens : ""tiens là il sera sensé avoir lui ou cela. Donc tu joues avec cela en tête"" Résultat final : souvent le regard de l'acteur est mal dirigé. Il ne regarde pas l'incrustation mais au dessus ou à côté.Quand à l'histoire, elle n'est pas emballante, moins féérique, plus brouillonne.Déception. Film réellement pour les fans de Harry Potter ayant 2h30 à tuer.",neg
2.5,"Un ton en dessous du premier, avec un scénario un peu  soporifique et qui n'apporte pas grand chose à la saga (spoiler:en dehors de révéler le véritable nom de Voldemort). Avec les rediffusions, j'ai du mal à me dégager du côté très enfantin de l'histoire (spoiler:qui tremble devant cette mystérieuse chambre des secrets ouvertes?) , même si l'univers Harry Potter est suffisamment riche pour nous surprendre à chaque détour d'un couloir de Poudlard.",neg
2.0,Un second épisode qui développe l'histoire et montre le fonctionnement qui sera celui de l'ensemble de la saga. La diversité dans ce film est sur la magie et les personnages fantastiques. Un effet pernicieux est l'accusation et le mensonge qui s'imprègnent comme le principe des mystères qui régissent cet univers.,neg
2.0,"Le premier opus avait beau m'avoir tout à fait convaincu, le deuxième m'a pas mal refroidit. Non pas que ce soit abyssalement mauvais, mais ""La Chambre des Secrets"" s'essouffle très vite, notamment à cause d'une histoire moins dense et moins intéressante, et donc un peu plus ennuyante. Pour des effets spéciaux qui ont moins bien vieilli que le premier film, on retrouve des personnages encore pas assez développé et une ambiance encore enfantine qui se mélange mal avec l'arrivée d'aspects plus sombres dans la saga. D'autant plus que certains nouveaux personnages sont vite agaçants (comme Dobby) et ceux que nous retrouvons ne se développent pas beaucoup (sauf Harry bien entendu). Drago Malefoy réussi même l'exploit d'être encore plus incroyablement chiant et inutile à l'intrigue que dans le 1. Une ""Chambre des Secrets"" bien plate qui s'impose comme l'un des moins bons films de la saga. Dommage.",neg
0.5,"D'un point de vue purement cinématographique celui-ci est meilleur que le 1, sauf que, le 1 avait la particularité d'être l'épisode qui devait créer tout l'univers au cinéma (ce qui lui valait bien une note plus élevée). C'est certain, Chris Columbus a peut-être un univers dans sa tête, mais il a très peu de talent. L'avoir choisi c'est risqué de perdre (ou plutôt de ne pas gagner) une partie du public (Adultes et cinéphiles). Les personnages sont lourds et affreusement clichés. C'est un film pour enfant alors que ce devrait être tout-public. Les acteurs jouent tout le temps pareille, c'est pas très intéressant.Cependant, c'est moins pire que le 1.",neg
2.5,"Un film important pour la saga, on apprend beaucoup sur voldemort,  et on sent une proximité avec lui.Daniel Radcliffe est toujours aussi pitoyable.Le délire du basilic, je suis pas fan, mais ce deuxième volet étend encore l'univers magique de Harry Potter... #Doby (lol)De bien jolies phrases pour ce volet moins enfantin et plus sombre que le premier.Ce volet est celui qui est le plus éloigné de la saga,  ce qui lui donne une saveur bien différente que tout les autres. .. Trop différente ?cela ressemble plus à un thriller qu'à un film fantastique. Tom Jedusor n'est pas un méchant très terrifiant, il n'a rien à voir avec voldemort  (sauf le début de sa vie )Sinon, Lockart ? Vraiment ???..Oubliettes !",neg
1.0,Les personnages sont fades comme mon compte.      Et les méchant son aussi méchant que des méchant pas très gentil,neg
2.5,"Qu’importe votre amour pour la franchise, force est de constater que ce début de saga souffre d’un sérieux problème. Ce dernier réside dans la structure du scénario ; ce mal étant commun, pour l’instant, aux deux premiers opus.Avant de me conspuer, cherchez à comprendre :1. Considérez un mystère dont vous ne connaissez pas le dénouement bien évidemment2. Rajoutez-y une multitude de questions dont la connexion avec l’intrigue principale ne peut être faite3. Faites traîner cela pendant 2 heures 20 de film pour avoir accès à toutes les réponses en même temps-> Vous obtenez, pour les néophytes, un désintéressement progressif logique, donnant l’impression d’un brassage permanent sans réelle évolution …De plus, le combat de fin manque de saveur. La séquence entre Harry et le Basilic tourne rapidement au ridicule. Ainsi que celle avec Voldemort qui, je le rappelle, est le grand méchant de la saga, défait deux fois en deux épisodes !!!Bref fans d’Harry Potter vous commencez à me décevoir …",neg
2.5,"Sûrement le pire film de toute la saga, aucun effort pour retransmettre la véritable histoire et les personnages impirtants du livre dans ce film, le travail est baclé et lz film en lui même n'est pas super bon. Je n'ai pas accroché mais à voir quand même si vous voulez comprendre la saga. En tant que film individuel, je ne le conseille pas.",neg
2.5,"Un mauvais Harry Potter ?La réponse est oui. il est premièrement mal adapté.il a une ""aura"" différente que le premier. les acteurs sont un peu mieux. histoire est mauvaise.Positif :décorNégatif :- Histoire- plan du réalisateur",neg
